,0
330,옷 이뻐요 얇긴해도 입을만 합니다 니트 굿 굿 잘 입겠 습니다 앞으로도 빠른배송 잘 부탁합니다
331,레드 조끼 잘받았습니다 얇아요 빨아놨어요 착한가격 에 잘입을께요 앞으로도 빠른배송 잘 부탁합니다 색상 이뻐요
332,좀 무거운 편이지만 입어보니 이쁘네요
333,엉덩이 충분히 가려줘서 좋습니다~
334,지난번에 차콜 구입해서 입어보고 괜찮아서 재구매합니다.
335,박시해서 좋네요
336,편할 것 같아 보여 좋습니다.
337,받자마자 어떤지 입어 봤는데 물이 좀 빠져 손이 까매졌네요. 세탁 후 다시 입어봐야겠어요.
338,짱짱해 보이고 편할 것 같아 보이네요
339,빠른 배송 감사합니다. 편해보입니다.
340,꽝
341,재구매했는데 완전실패
342,짜증
343,검정염색이 손에 너무많이 묻어나네요 기모바지가 아니고 기모스타킹이네요 빨아도 계속 검정색물이 빠질것 같아요 속옷에도 물들고 쓰레기 재구매했는데 짜증나네요
344,가격대비 만족입니다.
345,가성비 좋아요. 근데 네이비 색이 왔어요.
346,사이즈에 비해 타이트해요
347,가격대비 괜찮아요
348,가격대비 입을만하네요
349,잘받았습니다.
350,잘받았습니다.
351,잘받았습니다.
352,좋아요
353,저렴한 가격에 빠른 배송 모두 만족합니다
354,제품이 마음에 들어 재구매 하고 있어요.
355,가격대비 제품이 마음에 듭니다.
356,올 여름에 입을려고 주문했어요 마음에들어요
357,사이즈넉넉하고 박시한 느낌 이뻐요
358,잘 받았습니다. 배송 빨라요~ 저렴하게 구매해서 기분 좋네요^^
359,잘 받았습니다. 배송 빨라요~ 저렴하게 구매해서 기분 좋네요^^
360,너무 기네요ㅠ 저렴해요
361,굿
362,굿
363,새제품 같지 않아 좀 그랬지만 가격 대비 매우 만족.
364,목이 따뜻해요
365,만족하네요
366,만족하네요
367,할인행사때 구매하게되어 좋아요 그런데 기장이 짧아서 아쉽네요
368,할인행사때 구매하게되어 좋아요 그런데 기장이 짧아서 아쉽네요
369,할인행사때 구매하게되어 좋아요 그런데 기장이 짧아서 아쉽네요
370,할인행사때 저렴하게 구매했습니다 그런데 품은 넉넉하고 기장이 좀 짧아서 핏이 통통하게 나오내요 ㅠㅠ
371,할인행사때 저렴하게 구매했습니다 품은 넉넉하고 기장이 짧아서 핏이 참 통통하게 나오내요 ㅠㅠ
372,행사때 저렴하게 구매했습니다
373,맘에들어요
374,맘에들어요
375,옷이 너무 까칠해서 입기 불편해요..
376,옷이 너무 까칠해서 입기 불편해요..
377,옷이 너무 까칠해서 입기 불편해요..
378,부드럽고 좋은데 팔 허리 길이가 짧아서 초딩 한테 맞네요
379,좋아요
380,모든옷들이 남자가 입어도 멋지네요. 좋은옷 감사합니다. 판매자님 !! 가는길에 날마다 날마다 쉬임없이 평안이란 꽃길이 놓아질꺼예요. 항상 마음 가시는 곳.곳.마.다 행복의 꽃길만 되시길 응원합니다ㅡ☆
381,똑같은 바지인줄 모르고 구매햇는데 기분좋게$$ 지인에게 선물할껍니다
382,말도 안되는 가격에 득템 했어요ㅎㅎ 집에서 입기 너무 좋을듯 합니다
383,"말도 안되는 가격에 좋은 원단, 예쁜옷을 주셔서 감사합니다 판매자님!! 무조건 대박 나실껍니다!!!"
384,좋은데 저가 입기에 작아서 선물 할꺼예요 대박나세요^^
385,원단좋고 흠 잡을데가 없는 좋은 상품인데 저가 입기엔 너무 작아서 친구한테 선물햇어요ㅎㅎ
386,너무작아요
387,너무작아요
388,너무작아요
389,좋아요
390,좋아요
391,만족합니다
392,만족합니다
393,만족합니다
394,만족합니다
395,만족합니다
396,잘받았어요
397,착한가격 만족구매 나름 만족해요
398,착한가격 만족구매 나름 만족해요
399,착한가격 만족구매 만족합니다
400,저렴해요
401,득템햇어요 말도 안되는 가격~감사합니다 판매자님 새해 복 많이 받으시고 번성하십시요^^
402,좋아요
403,좋아요
404,좋아요
405,좋아요
406,좋은 원단 가성비 좋아요 예뿌게 잘 입을께요 판매자님 대박 나시길 응원합니다
407,가격에 비해 옷감 원단이 너무 좋네요 감사합니다 옷이 너무 이뻐요 잘 입을께요
408,조끼 잘받았습니다. 감사합니다.
409,저렴한 가격에 득템했어요. 감사합니다!
410,감사합니다 가성비갑이지요
411,감사합니다 감사합니다
412,작게 나왔네요.꼭 맞아요
413,감사합니다
414,따뜻하니 좋아요.
415,만족합니다
416,만족합니다
417,만족합니다
418,가격대비 짱이네요 잘입을께요
419,잘받았어요
420,잘받았어요
421,잘받았어요
422,잘받았어요
423,좋아요
424,좋아요
425,좋아요
426,좋아요
427,예쁘게 잘 입고 있어요
428,두께감 있고 팔도 길어서 좋네요
429,잘 받았습니다.
430,발목까지와요 기장은좋은데 조직이 많이 저렴해 버여요
431,귀여은데 옷이 좀 짧아요
432,보들보들 예쁘네요
433,보들보들하니 좋아요
434,그냥 ~~
435,good!!
436,good!
437,"봄에 잘 어울릴것 같습니다. 색상, 디자인 예쁩니다. 빠른배송감사합니다."
438,꽈배기니트여서 고급스럽고 따뜻합니다. 빠른배송감사합니다.
439,롱스커트여서 편하고 따뜻합니다. 빠른배송감사합니다.
440,"색상, 디자인 예쁩니다. 빠른배송감사합니다."
441,감사합니다
442,감사합니다
443,저렴하게 산거 같은데 생각보다 옷감이 얇을것 같아요
444,아이보리가 깨끗해 맘에 들어요.
445,만족합니다 야간 앞이 어두움
446,사이즈 작아 교환중 바지는 예쁨
447,싸서 한철입기 좋음 베이비 핑크색 좋음
448,가성비 좋아요. 재질이 쫀득하고 한철입기 좋음
449,엉덩이 덥고 운동용으로 입어요.
450,재질이 좋아요. 피는재질아님 보온보다 속옷 비침 방지용으로 좋음
451,좋아요
452,좋아요
453,옷 맴시나고 좋아요
454,옷이 싸구려티가 너무나요
455,옷이 너무 싸구려티가 나서 입을수가 없네요. 송료아까워서 다른 주려구요
456,좋아요.
457,좋아요.
458,얇고 짧아요
459,만족합니다감사합니다
460,만족합니다감사합니다
461,좋아좋아 좋아요 이쁘네요 잘입을께용
462,잘받았어요 타이트하긴하지만. 착한가가격이라서ㅎㅎ 번창하세요 ^^
463,빠른발송감사용 옷은맘에드는데. 냄새가 넘 심해서. 별하나뺐어요ㅠㅠ 오래묵은 냄새라할까요! 잘입을께용 번창하세요 ^^
464,너무 타이트해요
465,옷도 작고 너무 타이트~~
466,그냥 두꺼운 스타킹느낌
467,잘 입고 있어요
468,딸아이가 잘 입고 있어요
469,good
470,예상보다 좋은 품질
471,예상보다 좋은 품질
472,예상보다 좋은 품질
473,두께감도좋ㅇ구 짜임도쫀쫀하니좋습니다
474,늘어남도좋구 이너루잇기좋은 두께니다
475,가격대비넘 짱입니다 깔라별루다구매햄
476,잘받았습니다.
477,잘받았습니다.
478,잘받았습니다
479,잘 도착했습니다
480,폴라티 입을때 같이 입으면 좋을 것 같아요
481,맘에 드네요.편하게 입을 것 같아요.~
482,가격대비 좋아요
483,좋아요
484,그냥저냥...
485,그냥저냥...
486,그냥저냥...
487,잘 받았습니다
488,잘 받았습니다
489,잘 받았습니다
490,잘 받았습니다
491,가격대비 괜찮아요
492,가격대비 괜찮아요
493,착한가격에 좋은 상품 만족합니다
494,감사합니다
495,검사합니다
496,감사합니다
497,감사합니다
498,감사합니다
499,감사합니다
500,잘 받았습니다~ 가격대비 괜찮습니다~
501,3개 주문해서 받았는데..이건 별루네요
502,잘 받았습니다~ 가격대비 좋습니다~
503,생각보다 괜찮은 듯 합니다
504,생각보다 괜찮은 듯 합니다
505,생각보다 괜찮은 듯 합니다
506,생각보다 괜찮은 듯
507,생각보다 괜찮은 듯 합니다
508,생각보다 괜찮은 듯 합니다
509,생각보다 괜찮은 듯 합니다
510,생각보다 괜찮은 듯 합니다
511,니트 부드럽고 속안에 받쳐입기 좋네요.
512,니트는 부드러운데 시보리아래가 일자스타일이라 별로네요.
